"企業ID","企業名","従業員数","勤続年数","平均給与"
1,"Company1",1027,20.6,43.8
2,"Company2",1429,13.9,38.4
3,"Company3",8554,19.5,43.2
4,"Company4",1931,14.3,38.3
5,"Company5",2048,14.4,44.8
6,"Company6",10002,15.2,40.4
7,"Company7",2853,10.8,41.3
8,"Company8",507,13.8,40
9,"Company9",905,17.4,39.4
10,"Company10",1152,11.2,47.1
11,"Company11",6121,12.8,45
12,"Company12",2579,9.8,44
13,"Company13",2687,15.3,42.2
14,"Company14",2010,15.6,44.2
15,"Company15",1032,16.4,44
16,"Company16",10747,9.5,46.8
17,"Company17",2961,14.4,44.6
18,"Company18",251,10.5,41.4
19,"Company19",3629,14,41.4
20,"Company20",1121,19,40.6
21,"Company21",618,12.1,40.9
22,"Company22",1447,16.7,41.3
23,"Company23",645,11.2,45.7
24,"Company24",868,12.2,35
25,"Company25",963,15.6,39.9
26,"Company26",333,11.5,41.6
27,"Company27",4160,18.7,38.2
28,"Company28",2098,15.3,46.9
29,"Company29",576,11.8,41.3
30,"Company30",6306,21,38.6
31,"Company31",2757,14.8,39.3
32,"Company32",1340,17.1,44.6
33,"Company33",4405,18.5,47.6
34,"Company34",4331,11.4,41.6
35,"Company35",4093,12.7,42.3
36,"Company36",3583,11.3,39.2
37,"Company37",3132,16.3,45.9
38,"Company38",1691,12.9,44.2
39,"Company39",1325,13.2,35
40,"Company40",1230,13.6,40.1
41,"Company41",898,17.1,41.3
42,"Company42",1462,13.2,38.7
43,"Company43",507,12.4,41.2
44,"Company44",15748,13.2,38.6
45,"Company45",6023,19.4,43.1
46,"Company46",585,11.8,43
47,"Company47",1203,11.1,44.4
48,"Company48",1128,11,43.2
49,"Company49",3926,9.7,46.8
50,"Company50",1656,15.5,40.8
51,"Company51",2318,10.8,35.5
52,"Company52",1749,15.1,42.1
53,"Company53",1724,13.5,43.9
54,"Company54",7073,11.1,40.8
55,"Company55",1436,17.3,46.2
56,"Company56",8201,17.3,45.3
57,"Company57",382,21.4,43.6
58,"Company58",3229,14,42.2
59,"Company59",2037,11.2,40.3
60,"Company60",2233,15.5,41.5
61,"Company61",2631,21,43.4
62,"Company62",1089,14.4,44.9
63,"Company63",1289,18.2,41.1
64,"Company64",649,16.8,39.8
65,"Company65",616,9.7,49.4
66,"Company66",2438,13.4,43.6
67,"Company67",2817,18.8,39.3
68,"Company68",1897,17.2,44.8
69,"Company69",4526,15.7,42.2
70,"Company70",13983,15.8,44.5
71,"Company71",1101,12.2,42.2
72,"Company72",178,18.8,41.8
73,"Company73",4921,10.5,42.3
74,"Company74",885,16.3,43.2
75,"Company75",904,9.3,40.2
76,"Company76",5019,12,40
77,"Company77",1353,9.6,41.4
78,"Company78",531,16.3,42.5
79,"Company79",2157,15.7,41
80,"Company80",1566,15.6,43
81,"Company81",1810,15.6,38.7
82,"Company82",2646,16.1,37.7
83,"Company83",1242,16.4,47.7
84,"Company84",3428,13.4,43.2
85,"Company85",1443,14.4,40.8
86,"Company86",2508,16.7,41.2
87,"Company87",5390,9.6,44.4
88,"Company88",2781,12.2,41.4
89,"Company89",1299,10,42.6
90,"Company90",5677,17.9,41.2
91,"Company91",4861,18.7,40.5
92,"Company92",3114,16.9,43.8
93,"Company93",2285,9.5,42.4
94,"Company94",960,15.7,45.9
95,"Company95",7017,18.3,38.6
96,"Company96",987,14.6,41.6
97,"Company97",16040,11.9,41.4
98,"Company98",8334,10,38.8
99,"Company99",1422,11.5,45
100,"Company100",644,16.6,41.7
101,"Company101",884,12.4,37.8
102,"Company102",2327,14.8,40.2
103,"Company103",1406,18.8,38.7
104,"Company104",1271,16.1,45.1
105,"Company105",695,19,49.6
106,"Company106",1720,13,40
107,"Company107",821,14.2,41.7
108,"Company108",339,16.1,42.8
109,"Company109",1230,9.7,50.1
110,"Company110",4512,17,35
111,"Company111",1012,15.1,40.5
112,"Company112",3306,15,38.4
113,"Company113",356,15.9,41.3
114,"Company114",1702,13.6,41.2
115,"Company115",3025,17.4,39.8
116,"Company116",2432,16.4,47.5
117,"Company117",2000,13.4,42.8
118,"Company118",948,17.8,49.2
119,"Company119",769,15.1,44.5
120,"Company120",646,16.5,38.2
121,"Company121",2024,11.8,39.7
122,"Company122",697,19.8,42.8
123,"Company123",1102,14,40.3
124,"Company124",1393,17.1,43.1
