"企業ID","企業名","従業員数","勤続年数","平均給与","東証","変動係数"
1,"Company1",854,30,521000,0,0.336477502807975
2,"Company2",906,33,486000,0,0.312563734315336
3,"Company3",821,25,521000,0,0.253574668616056
4,"Company4",874,23,515000,0,0.227821291796863
5,"Company5",921,25,468000,0,0.423354502115399
6,"Company6",884,36,493000,1,0.116767799388617
7,"Company7",833,34,503000,0,0.24549707788974
8,"Company8",820,17,501000,1,0.44263878678903
9,"Company9",907,19,509000,0,0.379178631398827
10,"Company10",881,36,5e+05,1,0.373794589191675
11,"Company11",882,13,462000,1,0.239206021092832
12,"Company12",874,26,481000,0,0.32187273176387
13,"Company13",854,19,494000,1,0.154897447023541
14,"Company14",909,24,526000,1,0.413972622528672
15,"Company15",895,24,529000,0,0.454745028633624
16,"Company16",869,17,495000,0,0.181638353317976
17,"Company17",847,29,495000,1,0.408249184582382
18,"Company18",839,23,499000,1,0.338545184303075
19,"Company19",861,30,519000,0,0.483067896962166
20,"Company20",849,19,492000,1,0.163475359044969
21,"Company21",902,32,487000,0,0.310389709658921
22,"Company22",866,28,504000,1,0.449260547012091
23,"Company23",875,22,465000,1,0.447882428113371
24,"Company24",837,26,469000,1,0.109475457295775
25,"Company25",861,35,490000,0,0.490355877391994
26,"Company26",862,19,484000,0,0.296089679282159
27,"Company27",867,24,489000,1,0.255668129213154
28,"Company28",895,35,476000,1,0.267021983955055
29,"Company29",891,21,492000,1,0.137170328199863
30,"Company30",887,34,454000,0,0.164723684079945
31,"Company31",869,20,517000,0,0.262166598066688
32,"Company32",861,27,515000,1,0.236725777667016
33,"Company33",834,22,461000,0,0.266102981287986
34,"Company34",864,20,516000,1,0.221620987635106
35,"Company35",866,23,461000,1,0.324112214986235
36,"Company36",906,20,523000,1,0.162349660228938
37,"Company37",837,24,488000,1,0.482631905656308
38,"Company38",882,22,497000,0,0.117586650140584
39,"Company39",844,25,482000,1,0.248863097093999
40,"Company40",868,28,520000,1,0.485046136565506
41,"Company41",858,22,505000,0,0.358171006292105
42,"Company42",869,28,527000,0,0.124505045730621
43,"Company43",911,28,470000,1,0.263978371396661
44,"Company44",864,31,469000,1,0.270362053625286
45,"Company45",855,22,515000,0,0.303263233881444
46,"Company46",888,34,498000,0,0.279839964304119
47,"Company47",874,28,514000,0,0.349304553400725
48,"Company48",877,18,529000,0,0.155991172417998
49,"Company49",882,18,5e+05,0,0.463178560324013
50,"Company50",856,35,522000,0,0.327777309902012
51,"Company51",934,31,473000,0,0.319312229566276
52,"Company52",831,23,467000,0,0.146731049008667
53,"Company53",879,27,508000,0,0.404811332933605
54,"Company54",884,22,454000,0,0.291347778681666
55,"Company55",872,29,487000,1,0.412787565868348
56,"Company56",898,24,519000,0,0.11841061944142
57,"Company57",931,20,497000,0,0.427937867119908
58,"Company58",856,24,512000,0,0.20776337897405
59,"Company59",844,25,527000,1,0.213140165805817
60,"Company60",850,26,502000,1,0.357288623787463
61,"Company61",889,31,478000,1,0.479247535113245
62,"Company62",870,22,460000,1,0.102799381781369
63,"Company63",850,30,475000,1,0.240647068805993
64,"Company64",876,25,478000,1,0.267618289962411
65,"Company65",866,38,491000,1,0.283150718826801
66,"Company66",859,26,455000,1,0.38467703172937
67,"Company67",860,24,507000,0,0.467939223069698
68,"Company68",848,20,492000,0,0.350844280235469
69,"Company69",880,28,507000,1,0.460872711334378
70,"Company70",903,30,509000,1,0.402931663673371
71,"Company71",883,28,499000,0,0.155143346264958
72,"Company72",861,23,444000,1,0.161301951203495
73,"Company73",877,25,472000,0,0.17652487475425
74,"Company74",856,21,514000,0,0.273274056240916
75,"Company75",878,31,506000,0,0.134887720737606
76,"Company76",852,28,522000,0,0.189512000419199
77,"Company77",909,19,518000,0,0.328859471809119
78,"Company78",857,24,495000,0,0.260067671351135
79,"Company79",916,26,532000,1,0.326186152268201
80,"Company80",864,21,489000,1,0.431849551480263
81,"Company81",876,29,489000,0,0.356845527794212
82,"Company82",923,29,476000,0,0.256599500682205
83,"Company83",872,28,489000,1,0.383831941895187
84,"Company84",905,24,466000,1,0.143529629241675
85,"Company85",854,41,486000,0,0.20944909369573
86,"Company86",869,32,467000,0,0.337546773068607
87,"Company87",847,19,499000,0,0.164073925372213
88,"Company88",886,29,459000,1,0.441372095514089
89,"Company89",864,17,483000,0,0.43909566309303
90,"Company90",854,18,503000,0,0.291154725011438
91,"Company91",885,16,476000,1,0.409476848971099
92,"Company92",863,23,508000,1,0.218160032201558
93,"Company93",886,22,519000,1,0.126251244731247
94,"Company94",879,20,519000,0,0.2762132499367
95,"Company95",874,32,484000,0,0.284839543141425
96,"Company96",852,24,507000,1,0.236373748071492
97,"Company97",899,30,485000,1,0.174056127481163
98,"Company98",896,28,508000,1,0.302799090743065
99,"Company99",883,24,497000,0,0.107676412258297
100,"Company100",881,17,487000,0,0.40947441579774
101,"Company101",888,23,502000,1,0.323866031691432
102,"Company102",926,16,499000,1,0.356585055682808
103,"Company103",888,31,494000,0,0.28737284746021
104,"Company104",848,36,492000,0,0.211689524259418
105,"Company105",873,32,492000,0,0.284486628137529
106,"Company106",842,24,485000,1,0.417095336690545
107,"Company107",903,16,498000,1,0.334226230531931
