顧客ID,購入回数,平均購入額（円）,カート放棄率（%）,訪問回数,滞在時間（秒）,流入経路,デバイス,購買カテゴリ,ヤング・メンズ・トップス,ヤング・メンズ・ボトムズ,ヤング・メンズ・アウター,ヤング・メンズ・アクセサリー,ヤング・レディース・トップス,ヤング・レディース・ボトムズ,ヤング・レディース・アウター,ヤング・レディース・アクセサリー,アダルト・メンズ・トップス,アダルト・メンズ・ボトムズ,アダルト・メンズ・アウター,アダルト・メンズ・アクセサリー,アダルト・レディース・トップス,アダルト・レディース・ボトムズ,アダルト・レディース・アウター,アダルト・レディース・アクセサリー,シニア・メンズ・トップス,シニア・メンズ・ボトムズ,シニア・メンズ・アウター,シニア・メンズ・アクセサリー,シニア・レディース・トップス,シニア・レディース・ボトムズ,シニア・レディース・アウター,シニア・レディース・アクセサリー
10001,4,4228,52,39,128,直接,PC,なし,3,2,5,2,4,7,9,8,10,6,4,8,1,5,8,2,10,3,2,7,2,9,8,10
10002,1,15382,70,46,426,広告,タブレット,なし,7,7,1,3,7,9,0,10,7,5,0,4,0,6,2,2,3,0,0,6,3,10,3,5
10003,3,19755,9,24,518,直接,PC,なし,10,4,6,9,4,3,6,1,1,10,10,2,8,10,1,8,0,4,10,2,2,9,6,3
10004,3,3891,44,11,68,検索,スマホ,なし,4,4,1,5,9,2,6,9,0,4,3,5,2,8,4,0,9,8,7,3,6,7,3,1
10005,2,4756,16,13,300,検索,スマホ,アクセサリー,8,4,2,5,2,2,5,8,6,5,6,4,1,6,8,6,2,1,9,6,2,6,10,5
10006,3,16770,25,34,186,直接,スマホ,なし,3,7,8,8,8,4,5,10,5,3,4,0,3,3,10,1,1,3,2,3,9,9,5,6
10007,2,17478,84,25,104,SNS,PC,メンズ,2,1,3,3,1,2,2,4,4,2,9,1,5,9,0,6,7,9,6,8,3,3,6,3
10008,3,3674,91,7,159,直接,PC,レディース,9,1,4,4,2,7,2,5,7,0,5,4,0,4,0,0,7,1,9,6,1,6,1,10
10009,0,7898,61,4,113,直接,スマホ,アクセサリー,7,7,8,4,3,4,9,5,10,0,9,8,8,5,9,9,4,7,5,0,1,10,9,6
10010,2,11147,45,8,51,検索,PC,なし,0,8,6,2,9,6,10,10,1,5,3,3,8,8,2,9,4,8,2,0,8,7,5,10
10011,4,1793,63,20,488,広告,PC,アクセサリー,8,10,7,1,0,10,8,2,1,8,1,8,7,4,9,7,10,2,5,3,10,5,7,7
10012,2,3116,1,29,568,検索,スマホ,なし,3,9,10,7,10,7,0,10,8,7,8,2,5,4,2,9,3,8,2,8,0,5,5,10
10013,1,6779,53,45,411,広告,PC,メンズ,10,9,2,9,3,4,6,10,0,1,1,0,3,6,4,9,0,5,8,3,0,2,1,2
10014,3,13298,64,46,469,検索,タブレット,レディース,8,1,10,8,3,7,10,9,5,8,1,5,1,1,3,1,0,5,0,4,9,4,3,1
10015,4,15153,50,10,50,直接,タブレット,なし,7,3,10,9,8,2,9,6,2,7,1,9,7,2,5,2,5,6,7,0,0,9,0,4
10016,4,12111,52,43,332,検索,タブレット,なし,2,7,3,10,7,6,6,6,4,8,0,6,6,1,7,7,3,4,4,1,2,1,6,1
