顧客ID,購入回数,平均購入額（円）,カート放棄率（%）,訪問回数,滞在時間（秒）,流入経路,デバイス,購買カテゴリ
10001,4,4228,52,39,128,直接,PC,なし
10002,1,15382,70,46,426,広告,タブレット,なし
10003,3,19755,9,24,518,直接,PC,なし
10004,3,3891,44,11,68,検索,スマホ,なし
10005,2,4756,16,13,300,検索,スマホ,アクセサリー
10006,3,16770,25,34,186,直接,スマホ,なし
10007,2,17478,84,25,104,SNS,PC,メンズ
10008,3,3674,91,7,159,直接,PC,レディース
10009,0,7898,61,4,113,直接,スマホ,アクセサリー
10010,2,11147,45,8,51,検索,PC,なし
10011,4,1793,63,20,488,広告,PC,アクセサリー
10012,2,3116,1,29,568,検索,スマホ,なし
10013,1,6779,53,45,411,広告,PC,メンズ
10014,3,13298,64,46,469,検索,タブレット,レディース
10015,4,15153,50,10,50,直接,タブレット,なし
10016,4,12111,52,43,332,検索,タブレット,なし
10017,1,11789,35,34,113,検索,タブレット,なし
10018,2,12397,25,26,482,検索,スマホ,なし
10019,3,13999,28,41,416,直接,スマホ,レディース
10020,2,1814,20,49,536,直接,スマホ,レディース
10021,3,17729,10,3,286,直接,タブレット,メンズ
10022,4,11541,39,6,599,直接,タブレット,レディース
10023,1,3443,10,5,556,広告,PC,なし
10024,3,11457,35,5,191,広告,PC,メンズ
10025,3,11380,58,47,192,SNS,タブレット,メンズ
10026,3,8783,38,23,553,直接,タブレット,メンズ
10027,5,12473,98,49,300,広告,タブレット,なし
10028,0,18368,53,9,521,検索,タブレット,アクセサリー
10029,1,16328,97,35,237,直接,PC,なし
10030,4,1827,54,20,568,SNS,タブレット,レディース
10031,3,8147,23,49,89,SNS,PC,レディース
10032,1,5451,21,42,459,SNS,タブレット,なし
10033,7,16343,68,35,338,検索,タブレット,なし
10034,3,14635,55,18,549,広告,タブレット,メンズ
10035,4,6959,32,17,56,検索,PC,なし
10036,2,1126,35,24,591,直接,PC,メンズ
10037,1,9795,19,3,228,SNS,スマホ,レディース
10038,4,12641,82,32,416,検索,タブレット,メンズ
10039,4,8196,98,35,378,検索,スマホ,なし
10040,1,12559,80,38,565,広告,スマホ,レディース
10041,2,4368,61,13,407,広告,PC,アクセサリー
10042,3,4797,97,47,587,SNS,PC,メンズ
10043,5,16114,72,25,556,検索,スマホ,レディース
10044,5,14718,25,9,182,検索,タブレット,メンズ
10045,3,2792,65,4,235,広告,PC,レディース
10046,2,12053,72,14,484,検索,タブレット,レディース
10047,3,4476,72,37,302,検索,タブレット,メンズ
10048,3,4417,39,34,265,検索,スマホ,アクセサリー
10049,1,2645,16,11,550,広告,スマホ,レディース
10050,6,15755,0,41,530,SNS,スマホ,レディース
10051,1,4072,88,3,146,直接,スマホ,レディース
10052,5,2854,60,28,415,SNS,PC,アクセサリー
10053,4,5662,42,29,373,直接,PC,アクセサリー
10054,3,7514,41,9,424,検索,スマホ,なし
10055,2,3708,24,3,93,SNS,PC,メンズ
10056,3,12694,38,25,101,直接,スマホ,アクセサリー
10057,2,10524,34,34,303,広告,タブレット,メンズ
10058,6,7456,2,12,349,広告,タブレット,なし
10059,2,5212,43,42,367,SNS,タブレット,メンズ
10060,6,14224,50,9,395,SNS,スマホ,アクセサリー
10061,3,8970,93,15,524,検索,タブレット,メンズ
10062,0,17920,97,40,195,SNS,PC,アクセサリー
10063,5,2625,11,25,573,検索,タブレット,メンズ
10064,0,11314,18,5,40,検索,タブレット,アクセサリー
10065,6,8973,43,11,330,広告,タブレット,アクセサリー
10066,2,9577,58,34,131,広告,PC,メンズ
10067,4,9070,48,24,454,直接,スマホ,なし
10068,3,9666,60,15,421,広告,PC,レディース
10069,5,4600,16,38,243,広告,スマホ,なし
10070,8,7783,73,8,117,SNS,スマホ,メンズ
10071,4,14226,56,5,582,広告,タブレット,なし
