"性別","就労期間","残業時間","平均月収"
0,28.9,25.6,66.2865947665891
1,15.1,32.8,75.5601589858482
0,21.7,48.4,71.8740229430738
1,9.5,51.5,79.0125572908049
0,0.7,30.2,47.2247002594013
0,14.8,25.7,70.6320285084951
1,25.2,50.5,70.5445702972023
1,9.1,26.5,43.0480029099921
0,12.2,51.7,47.9178151492904
0,19.1,51.4,64.6974829017134
0,2.3,53,58.4693209269632
0,21.4,35.4,67.2087519764492
1,18.7,30.7,70.6785968079728
0,22.4,27.2,73.6985539279969
0,18.8,26.3,61.4690861969976
1,4.3,59.1,57.2563653061815
1,20.4,57.7,75.998433811409
1,10.2,39.2,62.404318852593
1,8.8,33,53.1783152964431
0,5.7,24,29.2985099478881
1,26.6,56.5,88.4127285218187
0,6.8,55.9,45.7014557100212
1,1.7,31.9,58.8601703150386
1,7.1,53.2,58.6097433913783
1,21.1,50.8,84.1095253924028
0,26.5,41.4,67.8711546043639
0,29.3,20.3,68.8254984399163
0,10.1,32.3,51.388299916133
1,9.1,40.1,61.6433435282439
0,14.4,45.8,62.8440866825631
0,15.3,45.4,72.8928398325449
0,15,36.6,53.9151363884359
1,29.8,46.1,87.2232041719754
1,9,51.2,61.0661016062241
1,14.9,20.1,51.9371090624491
1,15.3,56.8,80.2958052673331
1,15.2,34.3,67.1028231805633
1,1.6,36.8,52.3572627541113
0,5.5,58.5,63.154432443961
1,10.8,22.4,43.054229482567
0,28.3,36.3,74.3149199911499
1,13.7,56.7,74.7515947825195
1,14.9,31.8,64.0026754795084
1,10.4,34.1,59.8310363434529
1,5.1,21.8,30.6665052982781
1,6.8,27.6,47.6349318808982
0,25.9,33,71.4920227668259
0,8.3,25.6,54.4161799539269
0,24.9,33.2,56.3248594286261
0,16.4,23.8,55.0244466773837
