Date,A,B,C
2024-07-01,0.0772,0.0461,0.0552
2024-07-02,0.104,0.0446,0.058
2024-07-03,0.065,0.0478,0.0594
2024-07-04,0.0685,0.0509,0.0606
2024-07-05,0.0747,0.0525,0.0505
2024-07-06,0.0709,0.052,0.0583
2024-07-07,0.0934,0.052,0.0555
2024-07-08,0.063,0.0486,0.0723
2024-07-09,0.1013,0.0515,0.0583
2024-07-10,0.0799,0.0476,0.0599
2024-07-11,0.0719,0.0484,0.0626
2024-07-12,0.0944,0.0571,0.0633
2024-07-13,0.0764,0.0487,0.066
2024-07-14,0.1009,0.0467,0.0582
2024-07-15,0.088,0.0498,0.0581
2024-07-16,0.1071,0.0454,0.065
2024-07-17,0.0804,0.0458,0.0564
2024-07-18,0.0706,0.0522,0.0597
2024-07-19,0.0431,0.0512,0.0612
2024-07-20,0.0744,0.0538,0.0625
2024-07-21,0.0494,0.055,0.0609
2024-07-22,0.1309,0.051,0.0545
2024-07-23,0.0584,0.051,0.0611
2024-07-24,0.0515,0.0529,0.0551
2024-07-25,0.0884,0.0486,0.0646
2024-07-26,0.0956,0.0502,0.0661
2024-07-27,0.062,0.0486,0.0597
2024-07-28,0.0699,0.0514,0.0553
2024-07-29,0.0752,0.0502,0.0606
2024-07-30,0.1034,0.0465,0.0659
2024-07-31,0.064,0.0519,0.0578
2024-08-01,0.1042,0.0551,0.0619
2024-08-02,0.0556,0.0439,0.0575
2024-08-03,0.0799,0.052,0.064
2024-08-04,0.0946,0.0522,0.0579
2024-08-05,0.07,0.0495,0.0542
2024-08-06,0.0836,0.0502,0.054
2024-08-07,0.0812,0.0521,0.0521
2024-08-08,0.0824,0.045,0.0614
2024-08-09,0.0795,0.0489,0.0644
2024-08-10,0.0662,0.051,0.0585
2024-08-11,0.0681,0.0529,0.0624
2024-08-12,0.0332,0.0477,0.0532
2024-08-13,0.0441,0.0547,0.0643
2024-08-14,0.0775,0.0454,0.0624
2024-08-15,0.0975,0.0497,0.0616
2024-08-16,0.0831,0.0564,0.0597
2024-08-17,0.1177,0.0549,0.0568
2024-08-18,0.0641,0.051,0.0571
2024-08-19,0.0952,0.0511,0.0663
2024-08-20,0.1011,0.0433,0.0656
2024-08-21,0.0578,0.051,0.0599
2024-08-22,0.0649,0.0496,0.066
2024-08-23,0.0783,0.052,0.0593
2024-08-24,0.0594,0.053,0.0633
2024-08-25,0.0993,0.0501,0.0655
2024-08-26,0.0595,0.0489,0.0709
2024-08-27,0.1053,0.0491,0.062
2024-08-28,0.0799,0.0493,0.0596
2024-08-29,0.1047,0.0523,0.0582
2024-08-30,0.0595,0.0552,0.06
2024-08-31,0.1081,0.0534,0.058
