"性別","血液型","身長","体重","BMI"
"M","AB",175.9,69.9,22.6
"M","AB",171.6,99.5,33.8
"M","O",159.1,42.3,16.7
"M","A",170.6,69.6,23.9
"M","O",163.5,50.8,19
"M","B",162.6,75.9,28.7
"M","B",177.6,68.1,21.6
"M","B",170.4,63.6,21.9
"M","A",160.8,55.3,21.4
"M","B",165.9,74.3,27
"M","O",173.9,66.2,21.9
"M","A",169.3,59.6,20.8
"M","AB",166.6,45.5,16.4
"M","O",166.8,56.8,20.4
"M","A",169.1,69.8,24.4
"M","B",172.4,60,20.2
"M","A",182.5,68.9,20.7
"M","B",162.1,76.2,29
"M","A",191.8,78,21.2
"M","O",179.5,90.9,28.2
"M","O",171.9,64.4,21.8
"M","AB",174.3,75.3,24.8
"M","O",165.3,69.7,25.5
"M","AB",167.1,73.7,26.4
"M","AB",171.3,67.2,22.9
"M","B",156.4,70.4,28.8
"M","AB",168,53.9,19.1
"M","A",179.5,88,27.3
"M","AB",181.7,66,20
"M","O",172.7,84.1,28.2
"M","A",171,71.1,24.3
"M","A",182.6,60.7,18.2
"M","O",181.1,98.4,30
"M","A",161.9,41.4,15.8
"M","O",172.3,68,22.9
"M","AB",176,57.9,18.7
"M","AB",172.2,60.2,20.3
"M","A",172.2,51.9,17.5
"M","O",170.4,78.7,27.1
"M","B",170.2,64.3,22.2
"M","B",170.3,89,30.7
"M","A",169.2,72.1,25.2
"M","B",170.7,57.7,19.8
"M","B",178.1,70.4,22.2
"M","O",188.1,65.8,18.6
"M","B",167.8,65,23.1
"M","B",170.1,87.1,30.1
"M","O",168.3,75.6,26.7
"M","O",184.5,66.4,19.5
"M","B",165,75.7,27.8
"M","B",153.8,50.9,21.5
"M","A",173.5,69.2,23
"M","A",156.5,60.7,24.8
"M","B",161.9,52.2,19.9
"M","AB",181.8,67.4,20.4
"M","O",179.1,70.2,21.9
"M","B",175.5,79.2,25.7
"M","B",156.4,39.4,16.1
"M","A",167.8,76.9,27.3
"M","A",159.7,63.8,25
"M","A",178.3,67.4,21.2
"M","B",166.9,56.8,20.4
"M","B",154.7,44.8,18.7
"M","O",176.9,66.7,21.3
"M","A",181.4,81.6,24.8
"M","B",166.8,58.1,20.9
"M","A",169.4,71.7,25
"M","B",172.8,63.6,21.3
"M","AB",168.2,59.4,21
"M","AB",179,69.8,21.8
"M","A",174.3,64.7,21.3
"M","AB",162.5,68.9,26.1
"M","O",164,34.7,12.9
"M","B",171.8,70.5,23.9
"M","AB",176.4,77.8,25
"M","A",167.1,59.2,21.2
"M","B",168.4,63.2,22.3
"M","O",168.1,57.4,20.3
"M","AB",160,75.3,29.4
"M","A",178.6,50.4,15.8
"M","AB",173.1,46.1,15.4
"M","O",173.5,74.7,24.8
"M","A",149.9,37.7,16.8
"M","B",164.5,57.4,21.2
"M","AB",176.1,66.1,21.3
"M","O",175.8,61.8,20
"M","B",166.3,47.3,17.1
"M","O",167.3,79.5,28.4
"M","A",174.5,81.9,26.9
"M","A",173.5,83.1,27.6
"M","O",179.3,76.8,23.9
"M","A",181.8,59.5,18
"M","AB",166.4,70.3,25.4
"M","O",172.6,56.9,19.1
"M","A",166.1,81.9,29.7
"M","AB",170.5,69.2,23.8
"M","A",160.8,60,23.2
"M","O",169.9,64.7,22.4
"M","B",175.1,57.3,18.7
"M","B",169,60.3,21.1
"F","O",148.2,45.2,20.6
"F","B",147.8,52.9,24.2
"F","O",160.3,49.3,19.2
"F","AB",156.6,41.4,16.9
"F","A",168.9,57.1,20
"F","B",160.8,55.3,21.4
"F","AB",161.6,51.7,19.8
"F","O",162.4,55.1,20.9
"F","B",157.4,47.8,19.3
"F","B",161.5,45.1,17.3
"F","AB",156.1,45.6,18.7
"F","AB",152.6,52.4,22.5
"F","B",151.9,43.1,18.7
"F","O",168.3,68,24
"F","B",154.9,51.8,21.6
"F","O",161.6,53.3,20.4
"F","A",158.8,34.3,13.6
"F","O",159.2,73,28.8
"F","O",150,39.4,17.5
"F","O",157,52.5,21.3
"F","B",158.4,62.7,25
"F","B",162.3,56.6,21.5
"F","O",151.2,43.4,19
"F","O",156.5,42.6,17.4
"F","A",148.7,40.5,18.3
"F","A",157.8,52.3,21
"F","A",161.8,51.3,19.6
"F","AB",165,64.3,23.6
"F","O",155.7,50.7,20.9
"F","B",164,54.6,20.3
"F","A",157,55,22.3
"F","B",163.1,62.5,23.5
"F","AB",158.6,52.3,20.8
"F","A",160.4,53.8,20.9
"F","B",166.2,63.3,22.9
"F","B",148.4,53.7,24.4
"F","B",160.6,63.7,24.7
"F","AB",170.2,45.8,15.8
"F","AB",160.6,56.2,21.8
"F","O",164.5,54.1,20
"F","A",160.7,50.1,19.4
"F","B",150.1,55.9,24.8
"F","O",156.3,53.3,21.8
"F","AB",160.1,48.2,18.8
"F","O",157.3,58.4,23.6
"F","A",152.9,52.4,22.4
"F","AB",156.1,59.2,24.3
"F","AB",155,57.9,24.1
"F","O",167.1,57,20.4
"F","AB",154.6,53.5,22.4
"F","O",165.1,56.2,20.6
"F","AB",154.1,43.2,18.2
"F","A",156.3,57.2,23.4
"F","O",159.3,42.1,16.6
"F","B",152.4,53.4,23
"F","O",155.8,42.2,17.4
"F","O",167.3,52.1,18.6
"F","O",161.9,43.2,16.5
"F","B",159.2,55,21.7
"F","B",164.5,43,15.9
"F","B",154.6,56.9,23.8
"F","AB",153,44.7,19.1
"F","B",160.9,41.9,16.2
"F","B",161.9,61.3,23.4
"F","O",159.7,43.9,17.2
"F","O",166.9,65.2,23.4
"F","B",153,54.1,23.1
"F","A",161.9,52.4,20
"F","AB",155.4,49.5,20.5
"F","O",153.1,54.4,23.2
"F","AB",165,57.4,21.1
"F","AB",162.1,59.6,22.7
"F","O",150.4,49.8,22
"F","A",158.6,64.6,25.7
"F","A",163.8,42.4,15.8
"F","B",147.9,49,22.4
"F","B",161.2,52.8,20.3
"F","O",151.4,49.1,21.4
"F","O",149.7,47.5,21.2
"F","AB",159,57.9,22.9
"F","B",161.1,68.3,26.3
"F","O",161.1,52.4,20.2
"F","A",160.7,47,18.2
"F","B",156.1,46.1,18.9
"F","A",148.9,56.3,25.4
"F","A",147.2,41.6,19.2
"F","O",164.2,51.2,19
"F","A",157.2,64.5,26.1
"F","A",153.5,51.1,21.7
"F","B",158.3,58.4,23.3
"F","B",149.8,32.3,14.4
"F","O",150,51.1,22.7
"F","A",160.6,60.6,23.5
"F","AB",156.3,58.4,23.9
"F","O",163.6,39.1,14.6
"F","O",160.1,46.7,18.2
"F","B",151.9,47.8,20.7
"F","B",155.8,51.9,21.4
"F","AB",145.4,51.2,24.2
"F","B",159.3,55.3,21.8
