"協力者番号","性別","食パンA","食パンB","食パンC"
1,"女性",7,4,4
2,"女性",7,5,7
3,"男性",8,7,5
4,"男性",7,6,9
5,"女性",4,6,5
6,"女性",8,6,6
7,"女性",6,5,7
8,"男性",8,4,4
9,"女性",8,8,7
10,"女性",6,5,5
11,"女性",7,4,6
12,"男性",7,3,8
13,"男性",9,5,5
14,"男性",7,5,6
15,"女性",8,4,4
16,"女性",7,4,9
17,"女性",7,4,5
18,"女性",7,4,7
19,"男性",7,2,4
20,"女性",6,4,6
21,"男性",6,5,8
22,"女性",7,5,6
23,"男性",8,6,5
24,"男性",8,3,4
25,"男性",7,5,9
26,"女性",7,5,2
27,"女性",8,5,6
28,"女性",9,3,5
29,"女性",5,4,7
30,"男性",6,6,6
31,"男性",9,7,9
32,"女性",7,8,5
33,"男性",7,5,6
34,"男性",8,4,7
35,"女性",7,7,6
36,"男性",9,8,6
37,"男性",6,7,6
38,"女性",7,3,7
39,"男性",7,9,7
40,"男性",6,6,8
