"","No.","形状A","形状B"
"1",1,6,6
"2",2,5,2
"3",3,7,9
"4",4,9,5
"5",5,7,6
"6",6,8,8
"7",7,6,9
"8",8,8,9
"9",9,6,6
"10",10,8,7
"11",11,6,6
"12",12,4,7
"13",13,6,4
"14",14,7,5
"15",15,4,4
"16",16,6,9
"17",17,5,4
"18",18,5,9
"19",19,5,6
"20",20,8,7
"21",21,7,10
"22",22,5,7
"23",23,7,8
"24",24,4,1
"25",25,5,4
"26",26,6,6
"27",27,5,7
"28",28,8,9
"29",29,5,8
"30",30,6,8
"31",31,5,2
"32",32,6,6
"33",33,4,6
"34",34,4,8
"35",35,6,7
"36",36,6,10
"37",37,8,9
"38",38,4,7
"39",39,7,6
"40",40,6,6
"41",41,8,10
"42",42,8,9
"43",43,7,8
"44",44,5,8
"45",45,4,9
"46",46,4,2
"47",47,6,7
"48",48,6,5
"49",49,7,6
"50",50,6,9
