"変更前","変更後"
70.082,69.94
69.966,70.01
70.022,70.035
70.038,70.062
70.024,69.959
69.994,69.965
70.091,69.979
69.994,69.968
70.121,69.981
69.996,69.994
70.078,69.964
70.137,70.061
69.917,70.003
69.983,69.997
69.992,70.015
70.038,70.001
69.983,69.996
69.841,70.044
69.854,69.993
70.079,69.961
69.982,70.012
69.893,69.989
69.99,69.984
70.073,69.968
70.114,70.013
69.974,69.995
69.985,70.015
69.894,69.993
70.028,69.98
69.962,70.038
70.027,69.992
70.042,70.028
70.062,69.964
69.963,69.986
70.03,69.992
69.897,69.988
69.953,70.04
69.949,69.999
69.855,70.007
70.002,69.972
70.012,69.978
69.978,70.03
70.045,70.038
69.956,70.037
69.918,69.959
70.026,70.061
69.951,70.031
70.087,69.999
69.974,70.021
70.039,69.971
70.019,69.967
69.953,70.001
70.095,69.964
70.039,70.006
70.005,70.039
70.017,69.969
70.041,69.978
70.005,70.001
69.82,69.969
70.017,69.989
69.978,70.026
70.011,70.029
70.035,70.012
70.084,69.944
69.956,69.998
70.078,70.032
70.02,70.024
70.062,69.994
70.055,69.919
70.043,70.002
69.937,70.017
69.995,70.001
70.037,70.005
69.943,70.013
69.967,69.988
70.035,70.039
70.046,70.014
70.028,69.963
69.947,70.041
69.934,70.036
70.091,70.025
70.015,69.95
70.005,69.983
69.993,70.019
69.928,70.001
70.037,70.01
69.987,70.074
69.989,69.975
70.056,69.937
70.049,70.008
70.084,69.979
69.971,70.013
70.039,69.976
70.083,70.066
69.933,69.996
69.948,69.986
69.932,69.995
69.912,70.026
70.005,70.003
70.039,69.951
70.072,70
70.063,70.023
69.94,70.001
70.111,70.022
69.96,69.996
70.006,69.998
69.975,70.014
69.993,70.03
70.011,69.963
70.007,69.999
69.998,69.998
70.006,69.977
69.971,69.969
69.97,69.981
69.9,70.018
69.977,69.988
69.969,69.976
70.162,70.005
69.918,69.963
70.008,70.031
69.91,69.985
69.912,70.006
70.007,70.002
69.94,70
70,70.054
69.974,69.975
69.963,70.034
69.879,70.001
69.927,69.975
70.011,69.998
70.034,70.022
69.97,69.987
70,69.977
70.067,70.005
70.086,70.03
69.934,69.998
69.993,69.958
70.072,69.961
69.972,69.977
69.997,69.984
69.995,69.999
69.947,70.02
69.973,69.987
69.998,69.967
69.975,70.018
70.067,70.008
69.971,70.035
69.974,69.95
70.042,70.003
69.937,70.041
69.998,70.022
69.907,69.975
70.07,70.022
69.984,69.974
69.972,69.986
69.926,70.036
70,69.991
69.952,70.025
69.968,69.991
70.077,69.953
69.989,69.975
69.936,69.967
70.01,69.985
69.978,69.99
70.035,69.995
70.086,69.993
69.94,70.057
70.027,69.958
70.005,69.988
70.054,70.01
69.986,70.049
70.05,70.003
69.895,70.037
70.101,69.951
70.052,70.043
69.991,69.979
69.913,69.992
70.039,69.967
70.029,70.004
70,70.054
70.009,70.073
69.965,69.968
70.022,70.015
70.018,70.042
69.983,69.994
69.92,69.993
70.042,69.991
70.033,70.018
69.95,70.042
69.904,70.021
70.012,70.01
69.979,69.991
70.015,70.015
69.922,69.984
69.942,69.992
70.065,70.033
70.024,70.013
70.035,70.007
70.109,69.992
70.008,70.028
