"ゼミ","投票"
"その他","No"
"政治学","No"
"その他","No"
"その他","Yes"
"その他","No"
"その他","Yes"
"その他","Yes"
"政治学","Yes"
"その他","Yes"
"その他","No"
"その他","No"
"その他","Yes"
"その他","No"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","No"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","No"
"政治学","Yes"
"その他","No"
"その他","No"
"政治学","No"
"その他","Yes"
"その他","No"
"その他","Yes"
"政治学","Yes"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","Yes"
"その他","No"
"その他","No"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","No"
"その他","Yes"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","No"
"その他","No"
"政治学","Yes"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","No"
"政治学","No"
"その他","No"
"その他","No"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","Yes"
"政治学","Yes"
"政治学","Yes"
"その他","Yes"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","Yes"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","Yes"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","Yes"
"その他","No"
"その他","Yes"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","Yes"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"政治学","Yes"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","No"
"その他","Yes"
"その他","Yes"
"政治学","No"
"その他","Yes"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","Yes"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","Yes"
"その他","No"
"その他","No"
"政治学","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","No"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","Yes"
"その他","No"
"その他","No"
"政治学","Yes"
"その他","Yes"
"その他","Yes"
"その他","No"
"その他","Yes"
"その他","No"
"その他","No"
"その他","Yes"
"政治学","Yes"
"その他","No"
"その他","No"
"その他","Yes"
"政治学","Yes"
"その他","Yes"
