"地域","店舗","売上"
"A",1,3946493
"A",2,4098830
"A",3,4136322
"A",4,4106744
"A",5,4080132
"A",6,4035787
"A",7,3965319
"A",8,4027696
"A",9,3910745
"A",10,4015212
"A",11,3980043
"A",12,4155741
"B",1,3951101
"B",2,4056868
"B",3,4010786
"B",4,3823563
"B",5,4004119
"B",6,3818564
"B",7,3936647
"B",8,4009661
"B",9,3878002
"B",10,3903940
"B",11,3905898
"B",12,3823986
"B",13,4155955
"B",14,4042494
"B",15,4127353
"C",1,4107699
"C",2,4062087
"C",3,4117813
"C",4,4325869
"C",5,3931050
"C",6,4097776
"C",7,4072286
"C",8,4080526
"C",9,4367986
"C",10,4065148
"C",11,4036215
"C",12,4160524
"C",13,4048737
"C",14,4199621
"C",15,4182944
"C",16,4095507
