店舗No.,条件,時期,売上げ
1,実験群,変更前,100
2,実験群,変更前,109
3,実験群,変更前,90
4,実験群,変更前,107
5,実験群,変更前,104
6,実験群,変更前,104
7,実験群,変更前,103
8,実験群,変更前,94
9,実験群,変更前,108
10,実験群,変更前,103
11,実験群,変更前,105
12,実験群,変更前,99
13,実験群,変更前,102
14,実験群,変更前,99
15,実験群,変更前,101
16,実験群,変更前,97
17,実験群,変更前,113
18,実験群,変更前,99
19,実験群,変更前,100
20,実験群,変更前,108
21,対照群,変更前,97
22,対照群,変更前,89
23,対照群,変更前,109
24,対照群,変更前,104
25,対照群,変更前,107
26,対照群,変更前,109
27,対照群,変更前,105
28,対照群,変更前,79
29,対照群,変更前,110
30,対照群,変更前,105
31,対照群,変更前,108
32,対照群,変更前,106
33,対照群,変更前,92
34,対照群,変更前,110
35,対照群,変更前,116
36,対照群,変更前,110
37,対照群,変更前,99
38,対照群,変更前,88
39,対照群,変更前,107
40,対照群,変更前,97
41,対照群,変更前,101
42,対照群,変更前,101
1,実験群,変更後,104
2,実験群,変更後,112
3,実験群,変更後,104
4,実験群,変更後,97
5,実験群,変更後,102
6,実験群,変更後,107
7,実験群,変更後,107
8,実験群,変更後,101
9,実験群,変更後,117
10,実験群,変更後,111
11,実験群,変更後,108
12,実験群,変更後,112
13,実験群,変更後,98
14,実験群,変更後,106
15,実験群,変更後,121
16,実験群,変更後,111
17,実験群,変更後,122
18,実験群,変更後,107
19,実験群,変更後,103
20,実験群,変更後,92
21,対照群,変更後,99
22,対照群,変更後,104
23,対照群,変更後,103
24,対照群,変更後,93
25,対照群,変更後,94
26,対照群,変更後,106
27,対照群,変更後,106
28,対照群,変更後,102
29,対照群,変更後,91
30,対照群,変更後,105
31,対照群,変更後,106
32,対照群,変更後,97
33,対照群,変更後,93
34,対照群,変更後,98
35,対照群,変更後,116
36,対照群,変更後,75
37,対照群,変更後,105
38,対照群,変更後,98
39,対照群,変更後,116
40,対照群,変更後,90
41,対照群,変更後,90
42,対照群,変更後,83
