学生No.,条件,時期,ストレス
1,実験群,見る前,3.9
2,実験群,見る前,4
3,実験群,見る前,5.1
4,実験群,見る前,3.8
5,実験群,見る前,1.6
6,実験群,見る前,4.5
7,実験群,見る前,3.2
8,実験群,見る前,4.9
9,実験群,見る前,4.8
10,実験群,見る前,2.8
11,実験群,見る前,4.2
12,実験群,見る前,4
13,実験群,見る前,6.1
14,実験群,見る前,4.3
15,実験群,見る前,4.8
16,実験群,見る前,4
17,実験群,見る前,3.8
18,実験群,見る前,4.4
19,実験群,見る前,4.1
20,実験群,見る前,3.3
1,対照群,見る前,3.5
2,対照群,見る前,4.3
3,対照群,見る前,4.8
4,対照群,見る前,4.5
5,対照群,見る前,4.2
6,対照群,見る前,4.3
7,対照群,見る前,4.7
8,対照群,見る前,6.2
9,対照群,見る前,2
10,対照群,見る前,3.1
11,対照群,見る前,5.7
12,対照群,見る前,4.2
13,対照群,見る前,3.7
14,対照群,見る前,4.9
15,対照群,見る前,3.8
16,対照群,見る前,5.5
17,対照群,見る前,3.5
18,対照群,見る前,4.2
19,対照群,見る前,4
20,対照群,見る前,3.2
1,実験群,見た後,1.6
2,実験群,見た後,2.3
3,実験群,見た後,4.2
4,実験群,見た後,3
5,実験群,見た後,3.6
6,実験群,見た後,3.5
7,実験群,見た後,2.6
8,実験群,見た後,1.6
9,実験群,見た後,4.9
10,実験群,見た後,2.2
11,実験群,見た後,1.8
12,実験群,見た後,2.8
13,実験群,見た後,2.5
14,実験群,見た後,1.2
15,実験群,見た後,1.5
16,実験群,見た後,1.7
17,実験群,見た後,1.3
18,実験群,見た後,1.8
19,実験群,見た後,2.6
20,実験群,見た後,2.9
1,対照群,見た後,4.2
2,対照群,見た後,3.5
3,対照群,見た後,3.4000000000000004
4,対照群,見た後,3.0999999999999996
5,対照群,見た後,2.8
6,対照群,見た後,3.9000000000000004
7,対照群,見た後,5.3999999999999995
8,対照群,見た後,5.8
9,対照群,見た後,3.0999999999999996
10,対照群,見た後,2.7
11,対照群,見た後,4.8
12,対照群,見た後,5.5
13,対照群,見た後,4.8
14,対照群,見た後,6.8999999999999995
15,対照群,見た後,3.9000000000000004
16,対照群,見た後,4.5
17,対照群,見た後,2.6
18,対照群,見た後,6
19,対照群,見た後,2.1
20,対照群,見た後,3.0999999999999996
