time_stamp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
2021/11/2 11:19,5,5,2,5,1,2,4,4
2021/11/2 11:21,2,4,2,4,4,3,4,2
2021/11/2 11:21,4,2,4,5,3,4,3,5
2021/11/2 11:22,2,2,4,5,5,4,4,4
2021/11/2 11:23,2,5,3,5,4,4,2,4
2021/11/2 11:25,1,4,4,3,5,5,2,4
2021/11/2 11:29,4,5,5,5,4,4,2,4
2021/11/2 11:30,2,4,4,3,5,4,2,3
2021/11/2 11:33,1,5,1,1,1,1,2,5
2021/11/2 11:33,2,2,4,3,3,3,4,2
2021/11/2 11:34,4,3,1,1,4,2,4,1
2021/11/2 11:35,3,3,2,2,4,3,3,4
2021/11/2 11:35,4,3,2,3,5,4,4,5
2021/11/2 11:37,5,5,1,1,1,1,5,2
2021/11/2 11:40,3,3,1,1,5,2,2,4
2021/11/2 11:41,2,5,4,2,4,4,4,1
2021/11/2 11:42,2,5,5,5,4,4,2,4
2021/11/2 11:44,1,4,4,4,5,4,4,2
2021/11/2 11:44,3,4,1,4,3,3,2,4
2021/11/2 11:46,2,5,4,4,5,4,2,4
2021/11/2 11:46,3,5,5,5,5,4,2,4
2021/11/2 11:48,5,1,4,1,4,2,5,3
2021/11/2 11:49,2,4,4,4,5,2,2,4
2021/11/2 11:55,2,5,4,4,4,1,5,2
2021/11/2 11:55,3,2,2,2,5,5,1,5
2021/11/2 11:56,5,2,5,4,3,4,4,2
2021/11/2 11:59,1,5,5,5,4,1,3,3
2021/11/2 12:01,4,5,5,5,4,4,4,2
2021/11/2 12:01,4,5,2,4,2,1,4,2
2021/11/2 12:02,5,3,1,1,2,1,4,2
2021/11/2 12:05,1,5,2,5,5,1,3,4
2021/11/2 12:10,1,5,5,5,5,5,2,5
2021/11/2 12:11,2,4,4,4,4,4,2,2
2021/11/2 12:12,1,5,3,3,4,4,1,4
2021/11/2 12:18,2,3,4,4,5,5,4,2
2021/11/2 12:20,2,5,2,4,5,4,2,5
2021/11/2 12:21,4,2,4,2,5,5,2,4
2021/11/2 12:23,4,5,2,4,5,4,4,4
2021/11/2 12:23,2,5,4,4,5,5,2,4
2021/11/2 12:25,2,5,2,4,4,3,5,2
2021/11/2 12:32,1,4,1,4,4,3,2,5
2021/11/2 12:33,2,4,2,3,4,3,2,2
2021/11/2 12:33,1,5,5,5,5,4,1,5
2021/11/2 12:35,4,4,4,5,2,5,5,2
2021/11/2 12:36,3,4,4,5,4,4,2,4
2021/11/2 12:40,4,1,1,1,1,1,1,1
2021/11/2 12:51,2,5,5,5,3,2,2,4
2021/11/2 12:53,2,3,3,4,3,4,3,4
2021/11/2 12:54,4,3,3,2,5,5,3,4
2021/11/2 12:59,4,4,4,4,5,4,4,4
2021/11/2 13:09,1,5,4,4,5,5,3,4
2021/11/2 13:12,2,2,5,5,4,5,1,4
2021/11/2 13:14,3,5,5,2,5,5,3,4
2021/11/2 13:17,2,4,2,2,4,2,3,2
2021/11/2 13:19,2,5,3,1,5,5,2,4
2021/11/2 13:19,3,4,5,4,4,4,4,2
2021/11/2 13:25,1,5,5,5,4,3,1,4
2021/11/2 13:37,5,4,5,5,2,5,1,2
2021/11/2 13:39,2,4,4,4,5,5,3,3
2021/11/2 13:39,1,4,4,4,1,1,2,4
2021/11/2 13:43,1,5,1,1,5,5,1,5
2021/11/2 13:46,2,5,5,5,5,4,2,4
2021/11/2 13:51,2,5,1,5,5,3,4,2
2021/11/2 13:56,3,2,5,4,4,3,4,4
2021/11/2 13:57,3,3,3,2,4,3,3,3
2021/11/2 14:07,3,2,1,4,2,1,3,4
2021/11/2 14:19,1,4,3,5,3,3,3,4
2021/11/2 14:23,2,4,3,2,4,4,4,2
2021/11/2 14:54,4,3,2,4,5,4,5,2
2021/11/2 15:05,2,5,5,5,4,2,2,5
2021/11/2 15:12,2,4,1,5,3,1,4,3
2021/11/2 15:17,4,4,2,2,3,3,4,2
2021/11/2 15:22,4,3,2,2,3,2,5,2
2021/11/2 15:28,3,4,5,4,5,4,1,2
2021/11/2 15:50,4,4,4,4,4,4,2,2
2021/11/2 15:54,3,4,4,3,4,3,3,4
2021/11/2 16:15,5,4,2,2,4,1,5,2
2021/11/2 16:16,1,2,4,4,5,4,4,3
2021/11/2 16:18,1,5,5,5,4,4,2,4
2021/11/2 16:22,4,4,5,5,5,3,2,5
2021/11/2 16:33,1,5,5,5,4,5,1,4
2021/11/2 16:51,3,4,2,2,4,4,3,5
2021/11/2 16:53,4,3,4,1,5,5,2,4
2021/11/2 16:54,5,4,1,5,2,4,2,5
2021/11/2 17:36,4,4,3,4,5,5,4,2
2021/11/2 17:46,2,4,5,5,4,5,4,4
2021/11/2 17:50,2,5,5,4,4,4,2,4
2021/11/2 17:58,3,4,2,4,1,2,4,2
2021/11/2 18:03,1,2,1,2,2,1,3,3
2021/11/2 18:06,2,2,3,4,5,4,5,4
2021/11/2 18:12,1,5,5,5,5,5,1,5
2021/11/2 18:55,1,5,3,3,1,1,5,1
2021/11/2 19:15,5,2,1,1,5,1,1,5
2021/11/2 19:27,2,5,5,5,5,5,3,3
2021/11/2 19:34,2,4,2,2,4,3,5,5
2021/11/2 19:42,5,4,3,5,4,1,5,3
2021/11/2 19:51,5,5,4,3,2,2,2,2
2021/11/2 20:38,5,5,5,5,4,5,2,4
2021/11/2 20:50,3,4,5,5,3,4,5,1
2021/11/2 21:15,2,4,4,4,4,3,3,3
2021/11/2 21:28,1,5,5,5,1,1,4,3
2021/11/2 21:42,2,4,5,4,5,4,2,4
2021/11/2 21:56,3,5,5,5,5,4,5,1
2021/11/2 21:59,2,4,1,2,4,4,2,2
2021/11/2 23:19,3,3,4,4,4,5,3,4
2021/11/2 23:20,1,4,1,2,2,4,5,1
2021/11/2 23:42,2,4,4,4,4,1,4,3
2021/11/2 23:42,3,2,5,4,5,4,3,3
2021/11/3 1:59,1,2,3,4,4,4,3,4
2021/11/3 2:59,2,5,2,2,5,5,2,4
2021/11/3 8:08,4,2,4,3,5,3,4,4
2021/11/3 9:47,2,4,4,4,4,4,1,4
2021/11/3 12:55,2,4,3,5,4,4,5,3
2021/11/3 13:11,2,2,4,4,5,4,2,3
2021/11/3 14:11,1,5,3,4,1,3,5,3
2021/11/3 14:28,1,4,3,4,5,4,2,4
2021/11/3 15:35,2,3,4,5,3,2,2,1
2021/11/3 15:51,2,5,5,5,5,5,2,5
2021/11/3 17:22,4,2,1,1,2,2,2,2
2021/11/3 17:33,2,4,5,4,5,3,3,3
2021/11/3 19:40,3,2,3,2,5,4,4,2
2021/11/3 20:02,1,5,5,5,5,5,1,5
2021/11/3 20:26,1,4,5,4,4,4,2,3
2021/11/3 21:07,2,5,4,5,4,4,4,5
2021/11/3 22:31,3,2,5,2,1,3,3,3
2021/11/4 0:15,1,5,5,5,5,5,3,3
2021/11/4 0:44,1,5,5,5,5,5,1,3
2021/11/4 0:51,1,5,5,2,4,5,4,4
2021/11/4 0:57,2,5,4,5,5,3,4,2
2021/11/4 8:37,5,4,2,1,5,3,3,3
2021/11/4 10:33,3,5,4,1,5,3,3,3
2021/11/4 10:45,3,4,3,5,2,1,3,3
2021/11/4 13:05,2,2,4,4,1,4,4,2
2021/11/4 13:10,2,4,4,4,4,4,2,4
2021/11/4 13:21,2,4,4,3,4,4,3,3
2021/11/4 16:12,2,4,2,2,4,4,1,4
2021/11/4 16:17,1,5,5,4,5,5,1,5
2021/11/4 16:24,3,4,5,4,5,3,2,5
2021/11/4 17:17,5,2,3,2,2,2,3,4
2021/11/4 18:14,4,4,1,1,2,1,4,2
2021/11/4 21:49,1,5,4,2,5,4,2,4
2021/11/5 19:52,2,5,4,5,4,2,4,2
2021/11/5 20:35,2,4,4,5,5,4,2,4
2021/11/5 23:23,2,4,5,3,5,4,2,4
2021/11/6 0:59,1,5,4,5,5,5,3,3
2021/11/7 2:25,1,4,2,3,4,1,4,1
2021/11/8 14:08,2,4,2,2,4,3,5,2
2021/11/8 14:26,5,1,4,4,2,1,3,4
2021/11/9 11:48,2,5,3,4,4,4,3,2
2021/11/9 19:01,4,5,5,4,3,3,2,4
2021/11/9 19:25,1,5,4,5,3,4,2,3
2021/11/9 19:27,3,2,1,2,4,3,5,3
2021/11/9 19:29,2,5,4,4,4,4,2,2
2021/11/9 19:43,2,4,2,2,3,2,4,2
2021/11/9 20:34,5,1,5,5,1,1,5,1
2021/11/9 20:58,5,5,2,5,5,1,5,2
2021/11/9 22:38,2,5,3,3,4,4,3,4
2021/11/10 15:55,3,4,3,4,3,3,3,4
2021/11/10 16:26,1,5,4,5,4,4,2,4
2021/11/2 11:27,1,1,1,1,1,1,1,1
2021/11/2 11:27,4,2,1,2,2,1,5,2
2021/11/2 11:27,5,1,5,5,1,1,5,1
2021/11/2 11:28,2,5,5,5,5,5,3,4
2021/11/2 11:28,2,2,2,2,4,2,4,2
2021/11/2 11:28,1,5,5,5,5,5,1,5
2021/11/2 11:28,1,5,5,5,5,5,1,5
2021/11/2 11:29,2,4,1,1,4,4,5,1
2021/11/2 11:29,2,5,5,5,5,5,4,4
2021/11/2 11:29,2,5,5,5,5,5,2,5
2021/11/2 11:29,1,4,3,4,3,5,4,2
2021/11/2 11:30,2,4,3,2,5,4,2,4
2021/11/2 11:31,2,5,5,5,5,4,3,4
2021/11/2 11:31,5,2,1,1,5,3,4,4
2021/11/2 11:32,1,5,5,5,4,5,4,4
2021/11/2 11:33,2,3,4,4,4,4,2,4
2021/11/2 11:33,4,5,5,4,4,5,4,2
2021/11/2 11:33,2,2,2,2,3,2,2,2
2021/11/2 11:35,4,2,1,1,1,2,3,1
2021/11/2 11:39,2,4,4,4,4,5,2,2
2021/11/2 11:39,2,4,3,3,5,5,2,4
2021/11/2 11:40,4,2,2,3,2,2,3,3
2021/11/2 11:42,4,2,5,4,4,4,4,2
2021/11/2 11:42,1,5,5,5,5,5,2,5
2021/11/2 11:42,2,5,5,4,4,4,2,4
2021/11/2 11:43,2,3,4,3,5,5,2,4
2021/11/2 11:47,2,5,5,5,1,1,1,3
2021/11/2 11:48,3,4,4,4,4,5,2,4
2021/11/2 11:49,4,4,2,3,2,2,3,3
2021/11/2 11:53,2,4,4,4,3,2,4,3
2021/11/2 11:53,2,4,5,5,4,1,2,5
2021/11/2 11:56,5,2,2,1,1,1,4,4
2021/11/2 11:59,2,4,5,4,5,5,2,4
2021/11/2 12:02,2,3,3,4,4,4,3,3
2021/11/2 12:04,4,4,4,4,5,5,2,4
2021/11/2 12:05,3,4,2,1,3,2,3,2
2021/11/2 12:05,2,4,4,2,4,4,2,4
2021/11/2 12:08,3,5,4,3,1,4,2,2
2021/11/2 12:09,5,3,4,4,4,2,4,4
2021/11/2 12:12,1,2,4,5,5,4,2,4
