"性別","学歴","能力","就労期間","残業時間","平均月収"
1,0,-0.197786785684076,12,17.2,29.8030287087729
1,0,1.76883730937934,32,15.4,47.3573967098623
1,2,-0.0668502822676006,16,17.6,42.674187070178
1,2,-2.68794879771868,35,21.9,58.2929709955856
1,1,1.30392691315194,38,37,66.1336144793601
1,2,0.0119368439431445,2,20.1,30.8392421376732
1,2,0.375146194494234,21,31.8,52.3640759562785
1,2,0.487204098231265,36,27.3,65.2513257975099
1,2,-0.62189060172289,22,19.9,48.1425227653729
1,2,0.360580154123614,18,5.7,41.1949498159845
1,2,-3.02681824067745,38,15.8,58.1287480089015
1,0,-1.04872320680479,18,16.1,33.3526155305749
1,0,-0.0618797040569601,27,21.5,43.1661770741691
1,2,-0.0358306025771917,23,34,54.5591850534821
1,2,0.0740909542435228,4,43.9,38.083197640815
1,2,-3.08650129039957,36,36.5,64.5729386496805
1,2,0.0334627781775054,10,19.7,38.0014015503898
1,2,0.00630504771622182,2,3.4,27.2879847949377
1,2,0.347636209641441,13,17.1,40.3361387598561
1,2,-0.0303212770488118,38,21.9,64.165063542643
1,1,-1.88602467793078,36,29.5,57.3289567218858
1,2,-0.100981204222862,28,30.6,58.1661039280141
1,1,2.5674243811694,26,27.8,53.2199906786807
1,2,1.5122940363278,40,7,60.9400509734826
1,1,-2.70603122487867,26,29.5,47.2950783857484
1,2,2.18506785287739,28,16.5,55.4881041230314
1,2,0.512208830041543,22,22.7,50.4115755641574
1,2,-0.0378617435351888,24,21.7,51.2556633456729
1,1,-0.00503658136032865,12,25.3,36.9718104503717
1,2,-0.0105581632362015,6,21.2,34.6949465262764
1,0,0.764048883501804,39,4.3,47.6466264657889
1,1,-1.27857062610167,36,28.4,57.6665028336196
1,0,0.425223575938957,28,24.9,45.5901649872595
1,2,-1.86732343654661,32,18.3,55.1244437503437
1,2,0.000391879619138591,1,22.2,30.3531363644989
1,2,0.782338852311257,19,22.3,47.8365363307911
1,2,0.897304781036345,30,23.2,58.4351880578024
1,2,0.163947299920776,9,37.4,41.801074409357
1,0,-0.360963320560637,13,18.8,30.7554467910841
1,2,0.00868984946168258,9,22.7,37.8376644386498
1,2,0.0435078552968983,6,32.7,37.4892373764555
1,1,-0.604331090988754,17,31.5,42.3138070572523
1,2,0.886016829313447,17,32.5,49.3109700647935
1,2,-0.455875406252035,15,15.2,40.6457760305087
1,1,0.0115963590973364,6,41,35.0369738816524
1,2,0.0107021398439949,6,21.7,34.838418953799
1,2,0.0192962744680042,9,39.7,42.2019685507254
1,2,-0.148733069728147,19,7.5,42.0485000876467
1,1,0.106595957800944,11,21.2,35.241228702331
1,0,-2.33393978325156,34,33.5,50.029443224587
1,0,-0.0100980951377477,2,13.8,21.5278105520906
1,2,-0.41524467006326,18,13.5,42.7908962451984
1,2,-0.11493203430406,32,11.6,54.4647770452906
1,2,0.0615165558441382,5,10.5,31.3911739850257
1,2,1.50435527245696,22,16.6,49.455568899197
1,2,0.040034047577752,8,24.3,37.3530991431046
1,1,0.0186785303995111,5,0.9,25.85325675569
1,2,-0.429342290091505,30,23.1,56.824302589254
1,2,0.121935490772303,36,33.4,67.3993200017326
1,0,-0.618760106446947,15,41.4,37.1037017950639
1,1,0.413837776998845,27,34,53.5668745652536
1,2,-0.0167774817224179,4,28.6,34.5250199297728
1,0,0.147439737643583,15,3.7,29.4943199472096
1,2,-0.0819675414014178,11,15,37.5126576334067
1,2,-1.41070942561837,33,17.5,56.2265627464148
1,2,-0.138999680200888,18,28,47.6036849551009
1,2,-0.735626463298208,32,19.9,57.0508758807443
1,0,2.19457595824394,32,8.4,45.4532723312804
1,2,0.41945200872568,32,37.8,65.594722749616
1,0,0.274363525994519,18,30.1,38.2994062084205
1,2,-2.18658775935696,30,23.4,54.8535036950298
1,2,1.83169834865698,25,33.2,58.6216662711195
1,1,0.24464013098112,28,7.6,45.2765486080941
1,2,0,0,27.6,30.5129434324065
1,2,0.218441474235603,19,15.8,45.0928308581675
1,1,0.138046291286047,9,27.8,35.0845538567842
1,2,-0.609566577421733,15,20.4,41.9728626477348
1,2,2.06822638003291,25,27.3,56.7257254226575
1,2,-0.0606458953936055,14,34.4,45.7152328294263
1,2,0.0351233245410809,4,21.1,32.9016326098384
1,1,0.0141484787929576,10,31.2,36.6216063929695
1,2,-0.474484743610441,27,9.1,48.8998983566863
1,2,-1.03829043027553,17,13.8,41.3257331560316
1,2,-2.20579167714167,32,36.2,61.5661477706649
1,0,-0.00129508260087326,4,24.8,24.9198928524542
1,1,0.468440778580234,17,0.5,35.0177761923649
1,1,-5.60374720693618,39,7.4,47.5189395194035
1,2,3.49020443463232,36,19,65.1578832797747
1,2,3.35548039774182,35,29.7,68.8623177883853
1,2,-0.109689819423899,7,20,35.2001520119242
1,1,0.0231186427688539,5,27.2,31.2524477182188
1,0,-1.36810533321159,26,30.6,43.347842068544
1,1,-0.0480467691531311,14,37.7,41.8626102842419
1,2,1.22916045497942,26,21.6,54.5356694500861
1,2,0.287329487820201,13,20.5,41.229984125886
1,2,-0.106409605780867,8,3.5,32.0042165238114
1,2,-0.727495062866315,31,22,56.9692443795829
1,2,-0.0305806309806593,4,15.3,31.5231691001315
1,1,0.239997484941944,19,11.3,39.3701682390155
1,2,-1.221042858267,20,19.2,45.4198326380679
1,1,-2.965314015011,24,31.1,45.6378653884179
1,2,0.486353941411728,13,1.1,35.9394650738466
1,2,1.78054780629122,20,16.7,48.0353508453218
1,0,-1.28651384923081,38,22.2,50.9961275102057
1,0,0.537965228792624,19,12.1,34.9159404546506
1,2,-0.0190384370084052,36,24.3,63.3628261042244
1,0,3.95182079124165,37,25.1,57.4481830624159
1,2,0.624955261761651,24,20.7,51.6790921578823
1,1,0.102084080927752,16,3.7,34.7807554703448
1,2,-0.126814953443694,6,46.7,40.5801404769988
1,2,2.90280588582583,37,18.9,65.3343705330143
1,1,-0.0989218684642802,12,27.5,37.3978921984679
1,2,-0.010991910997519,2,23.7,31.5762651336602
1,0,-0.57053861129298,38,31.2,55.0051660493626
1,0,-0.208758564819941,29,29.2,46.9779804085522
1,2,0.0746598570178263,6,18.9,34.2478131911313
1,1,-1.10628605392754,22,24.8,44.2759583201744
1,2,-1.57662278939689,38,11.5,57.9389671588448
1,2,1.54133651705744,23,29.6,55.0010517687744
1,2,0.681014661645156,16,16.4,43.1613393696268
1,2,1.53960879252823,26,45.2,63.7279366722204
1,2,0.54979042530535,13,4.5,36.972980397452
1,2,0.0575257739518397,12,16.4,38.9273326027535
1,1,-0.0922837138462283,9,29.3,35.144359680084
1,2,0.244590179596486,15,26.1,44.6487592726571
1,0,3.15293833310309,39,15.1,54.2985708740895
1,2,0.170128725173306,6,11,32.4735820327549
1,2,-0.0615577157205044,4,22.4,33.0800874358284
1,1,0.0192594469027426,6,20.9,30.807572985096
1,0,1.00513640642665,28,3.1,39.5613198744669
1,1,-0.0668137469006638,25,21.3,47.0216479596431
1,2,-3.95299956596753,36,22.9,58.115561555312
1,2,1.05838352092506,27,22.7,55.6641433956854
1,1,-1.28287728331429,29,10.4,45.367676218232
1,0,0.436791400069882,21,25.8,39.967481861254
1,0,1.20121829079913,26,34.8,47.8004065020472
1,2,2.73767711587611,33,25.6,64.4159044582093
1,2,-2.93127615903015,31,9.6,49.7960852094047
1,2,3.22148941158247,39,16.6,66.4191238333807
1,1,-0.480213159486425,18,24.5,41.4444207298759
1,2,-0.3634342340265,12,14.5,37.9351260376786
1,0,0.658787219173592,16,0.6,30.0019261799558
1,1,0,0,29.8,27.2380952380952
1,0,-0.023273450974088,7,12.7,25.1980306970974
1,2,1.71914596091904,34,15.3,59.7472870059978
1,0,-0.136443169532949,9,36,31.1137649312725
1,1,-0.029571382313896,10,13.3,32.3808209204604
1,0,-0.0016515572671422,3,29.5,24.8354951274614
1,2,-0.054967785774796,10,8.4,34.9426853829652
1,2,1.20879967747094,29,17.5,55.6560926972516
1,2,3.47959023334839,34,20.3,63.9201054277953
1,1,-0.356952643404498,20,9.3,38.9360829943099
