性別,学年,現在の住居形態,"自身の金銭感覚
(どちらか近いと思う方に答えてください)",外向性,親和性,勤勉性,神経症傾向,開放性,必要以外の睡眠をする(昼寝など),家でYouTubeやNetflixなど動画を見て過ごす,パチンコや競艇などギャンブルに出かける,ショッピングに行く,部活・サークルや地域クラブなどで運動する,ボランティア活動に参加する,"電話をする
(相手からかかってきて話すものも含む)",旅行に行く,勉強や自己研鑽(自分磨き)をする,ウォーキングなどの軽い運動を行う,読書(漫画を含む),友人と会う,映画を見に行く,自身の余暇の内容には満足しているか,余暇を十分にとれていると感じているか,自身の余暇を改善したいと思いますか
男,1年,一人暮らし・下宿,浪費するタイプである,3,5,3.5,4,2.5,6,7,1,5,2,1,6,4,2,3,6,6,3,4,4,7
女,1年,一人暮らし・下宿,貯蓄するタイプである,2.5,4.5,3.5,7,4.5,5,7,1,6,1,1,7,7,5,2,6,5,4,4,7,2
女,1年,実家,浪費するタイプである,5.5,5,2.5,6.5,4.5,5,7,1,6,1,1,7,6,7,1,5,6,4,6,7,7
男,1年,実家,浪費するタイプである,6,7,3,6.5,5.5,6,5,1,6,7,6,5,7,7,7,5,7,5,7,7,1
女,1年,一人暮らし・下宿,貯蓄するタイプである,5.5,4.5,2,3.5,4.5,7,7,1,6,1,2,5,5,3,2,5,6,3,6,7,5
男,1年,実家,貯蓄するタイプである,3.5,4.5,3.5,4.5,4.5,7,6,1,4,7,7,5,3,4,3,2,7,4,3,6,4
女,1年,一人暮らし・下宿,浪費するタイプである,5,4,2,2.5,5.5,6,7,1,7,4,2,6,6,4,7,6,7,5,5,4,7
女,1年,一人暮らし・下宿,貯蓄するタイプである,4.5,4,4,5.5,3,5,2,1,5,4,3,7,3,6,4,2,4,1,5,3,3
女,1年,実家,貯蓄するタイプである,2.5,5.5,2,3.5,2,7,7,1,5,1,1,1,7,2,1,1,1,1,6,5,6
男,1年,一人暮らし・下宿,浪費するタイプである,3,5,2,6,4,7,7,1,7,5,4,2,7,3,2,7,7,7,4,5,7
男,1年,一人暮らし・下宿,貯蓄するタイプである,4,5.5,2.5,3.5,4,1,7,1,7,6,1,1,5,6,7,7,6,2,2,7,4
女,1年,実家,貯蓄するタイプである,5,3.5,4.5,3,3.5,3,7,1,6,6,1,2,2,2,2,1,4,2,5,4,5
女,1年,実家,貯蓄するタイプである,2,5,3.5,4.5,2.5,5,5,1,5,2,2,2,5,5,3,3,6,3,2,2,7
男,1年,一人暮らし・下宿,貯蓄するタイプである,3.5,4.5,4.5,5,2,5,7,1,5,7,1,5,6,7,6,7,7,7,7,5,6
女,1年,一人暮らし・下宿,貯蓄するタイプである,3.5,6,2.5,4.5,1,5,7,1,3,1,3,4,2,2,5,7,5,3,5,3,5
男,1年,一人暮らし・下宿,貯蓄するタイプである,6.5,4,3.5,6,6,2,5,6,6,4,3,6,6,3,4,5,7,5,6,5,5
女,1年,実家,浪費するタイプである,4.5,5.5,4.5,1.5,5.5,2,3,1,2,7,6,3,7,7,4,7,7,4,7,4,1
男,1年,一人暮らし・下宿,貯蓄するタイプである,2,5,3.5,5,2.5,5,6,1,2,2,3,3,5,4,6,5,3,7,6,6,5
女,1年,一人暮らし・下宿,浪費するタイプである,4.5,5.5,3.5,6.5,4,6,7,1,7,1,1,3,6,7,7,2,3,7,2,2,7
女,1年,一人暮らし・下宿,貯蓄するタイプである,5.5,5,4.5,2,4,7,7,1,5,1,5,7,7,2,1,1,5,2,6,3,1
女,1年,一人暮らし・下宿,浪費するタイプである,2,2.5,3.5,5.5,5.5,5,7,1,5,1,1,3,2,1,1,7,2,5,3,5,5
女,1年,一人暮らし・下宿,浪費するタイプである,6.5,4.5,2,7,3.5,7,7,1,6,1,1,7,7,6,3,5,6,6,5,3,2
女,1年,実家,浪費するタイプである,6.5,4.5,2,6.5,5,4,4,1,7,5,1,7,6,5,3,2,7,4,6,5,2
女,1年,一人暮らし・下宿,貯蓄するタイプである,5.5,4,4.5,2,2.5,5,7,1,5,1,1,5,5,5,3,3,5,5,6,5,5
女,1年,一人暮らし・下宿,浪費するタイプである,6.5,3.5,1,3,5,6,7,1,6,7,1,7,7,2,7,6,7,5,7,6,6
女,1年,一人暮らし・下宿,貯蓄するタイプである,2,6,4,2,3,3,5,1,3,5,3,6,2,3,5,5,4,5,3,6,5
女,1年,実家,浪費するタイプである,1.5,7,4.5,2,1.5,6,7,1,3,5,5,5,3,5,1,6,3,2,6,2,5
女,1年,一人暮らし・下宿,貯蓄するタイプである,4.5,6,6,4,5,2,2,1,5,2,3,2,3,3,4,4,2,4,5,3,4
男,1年,実家,貯蓄するタイプである,4,4,2.5,5.5,4,3,7,1,5,1,2,3,5,5,1,3,2,6,6,6,2
女,1年,一人暮らし・下宿,浪費するタイプである,6,6,2,4.5,4.5,7,2,1,5,7,7,3,5,1,7,7,7,6,5,7,5
女,1年,一人暮らし・下宿,浪費するタイプである,3,5.5,3,4.5,2,7,7,1,2,3,3,7,5,2,1,2,4,2,7,6,1
男,1年,実家,浪費するタイプである,4.5,5.5,4,4,5,3,6,1,6,4,2,6,5,6,5,4,7,5,6,6,4
男,1年,一人暮らし・下宿,貯蓄するタイプである,1.5,5.5,4,4.5,3.5,4,6,1,2,6,2,3,1,5,2,2,1,1,7,6,4
男,1年,一人暮らし・下宿,貯蓄するタイプである,3,4.5,4.5,4.5,5,7,7,1,6,4,4,3,6,4,7,5,2,4,5,4,7
女,1年,一人暮らし・下宿,貯蓄するタイプである,5.5,5,5.5,6,3.5,6,7,1,6,6,5,6,5,5,5,6,6,3,3,3,6
女,1年,実家,浪費するタイプである,3,5.5,5,2.5,2.5,5,7,1,4,2,5,3,2,2,1,3,3,3,5,7,6
女,1年,一人暮らし・下宿,貯蓄するタイプである,3,5,2,3,2.5,5,7,1,7,1,2,5,3,3,2,5,3,1,6,5,2
女,1年,実家,貯蓄するタイプである,4,5.5,4.5,3.5,3,4,7,1,5,5,1,3,4,3,1,2,6,5,5,5,4
女,1年,一人暮らし・下宿,浪費するタイプである,5,4,3,6,3.5,5,5,1,4,7,2,2,5,4,6,5,7,4,6,5,4
女,1年,実家,浪費するタイプである,3,5.5,5.5,3.5,5,7,4,1,4,2,6,5,5,3,4,4,7,7,7,3,2
女,1年,一人暮らし・下宿,浪費するタイプである,5.5,5.5,2,2,5,5,5,1,5,7,6,6,6,5,4,5,7,2,6,7,5
男,1年,一人暮らし・下宿,浪費するタイプである,1,5,3,6.5,1,7,7,1,2,2,1,3,1,1,1,2,1,1,5,5,4
女,1年,実家,浪費するタイプである,3.5,5.5,3.5,4,4,2,5,1,6,4,5,6,6,6,5,1,6,5,6,6,5
女,1年,一人暮らし・下宿,浪費するタイプである,1.5,4,2.5,7,1.5,7,7,1,2,1,3,1,1,2,1,5,3,2,3,4,5
男,1年,一人暮らし・下宿,貯蓄するタイプである,4.5,5.5,1,6,1.5,7,7,1,2,4,3,6,3,5,5,7,2,3,6,6,2
女,1年,一人暮らし・下宿,貯蓄するタイプである,3,5.5,2.5,4.5,1.5,6,7,1,5,7,1,6,1,5,5,7,7,2,6,7,2
女,1年,一人暮らし・下宿,貯蓄するタイプである,2,6,3,4,3,7,6,1,7,7,1,7,5,2,2,5,7,2,5,6,5
女,1年,一人暮らし・下宿,浪費するタイプである,1,5,2,5.5,3.5,5,7,1,6,5,2,6,5,5,5,7,1,1,6,5,4
女,1年,実家,浪費するタイプである,6.5,3.5,2.5,5.5,5.5,1,7,1,7,5,5,3,5,5,6,2,7,6,3,4,2
女,1年,一人暮らし・下宿,浪費するタイプである,3.5,5.5,2.5,4,1.5,6,7,1,6,7,2,6,3,3,2,2,5,5,3,5,5
女,1年,一人暮らし・下宿,浪費するタイプである,5.5,5,2,4.5,4,5,6,1,6,6,1,3,6,6,2,5,6,5,6,5,4
