個人No.,講義方法,テスト時期,理解度
1,従来型,受講前,50
2,従来型,受講前,59
3,従来型,受講前,40
4,従来型,受講前,57
5,従来型,受講前,54
6,従来型,受講前,54
7,従来型,受講前,53
8,従来型,受講前,44
9,従来型,受講前,58
10,従来型,受講前,53
11,従来型,受講前,55
12,従来型,受講前,49
13,従来型,受講前,52
14,従来型,受講前,49
15,従来型,受講前,51
16,従来型,受講前,47
17,従来型,受講前,63
18,従来型,受講前,49
19,従来型,受講前,50
20,従来型,受講前,58
21,従来型,受講前,47
22,従来型,受講前,39
23,従来型,受講前,59
24,従来型,受講前,54
25,従来型,受講前,57
26,従来型,受講前,59
27,従来型,受講前,55
28,従来型,受講前,29
29,従来型,受講前,60
30,従来型,受講前,55
31,従来型,受講前,58
32,従来型,受講前,56
33,従来型,受講前,42
34,従来型,受講前,60
35,従来型,受講前,66
36,従来型,受講前,60
37,従来型,受講前,49
38,従来型,受講前,38
39,従来型,受講前,57
40,従来型,受講前,47
41,従来型,受講前,51
42,従来型,受講前,51
43,従来型,受講前,41
44,従来型,受講前,49
45,従来型,受講前,41
46,従来型,受講前,34
47,従来型,受講前,39
48,従来型,受講前,44
49,従来型,受講前,44
50,従来型,受講前,38
51,新型,受講前,54
52,新型,受講前,48
53,新型,受講前,45
54,新型,受講前,49
55,新型,受講前,35
56,新型,受講前,43
57,新型,受講前,58
58,新型,受講前,48
59,新型,受講前,59
60,新型,受講前,44
61,新型,受講前,40
62,新型,受講前,29
63,新型,受講前,47
64,新型,受講前,52
65,新型,受講前,51
66,新型,受講前,41
67,新型,受講前,42
68,新型,受講前,54
69,新型,受講前,54
70,新型,受講前,50
71,新型,受講前,39
72,新型,受講前,53
73,新型,受講前,54
74,新型,受講前,45
75,新型,受講前,41
76,新型,受講前,46
77,新型,受講前,64
78,新型,受講前,23
79,新型,受講前,53
80,新型,受講前,46
81,新型,受講前,64
82,新型,受講前,38
83,新型,受講前,38
84,新型,受講前,31
85,新型,受講前,53
86,新型,受講前,61
87,新型,受講前,59
88,新型,受講前,52
89,新型,受講前,58
90,新型,受講前,42
91,新型,受講前,45
92,新型,受講前,51
93,新型,受講前,63
94,新型,受講前,63
95,新型,受講前,56
96,新型,受講前,52
97,新型,受講前,42
98,新型,受講前,45
99,新型,受講前,43
100,新型,受講前,50
1,従来型,受講後,54
2,従来型,受講後,65
3,従来型,受講後,58
4,従来型,受講後,57
5,従来型,受講後,61
6,従来型,受講後,55
7,従来型,受講後,61
8,従来型,受講後,64
9,従来型,受講後,61
10,従来型,受講後,62
11,従来型,受講後,53
12,従来型,受講後,49
13,従来型,受講後,78
14,従来型,受講後,49
15,従来型,受講後,60
16,従来型,受講後,40
17,従来型,受講後,76
18,従来型,受講後,56
19,従来型,受講後,50
20,従来型,受講後,60
21,従来型,受講後,57
22,従来型,受講後,77
23,従来型,受講後,57
24,従来型,受講後,67
25,従来型,受講後,66
26,従来型,受講後,75
27,従来型,受講後,77
28,従来型,受講後,54
29,従来型,受講後,71
30,従来型,受講後,68
31,従来型,受講後,64
32,従来型,受講後,74
33,従来型,受講後,54
34,従来型,受講後,47
35,従来型,受講後,51
36,従来型,受講後,51
37,従来型,受講後,61
38,従来型,受講後,58
39,従来型,受講後,54
40,従来型,受講後,49
41,従来型,受講後,64
42,従来型,受講後,61
43,従来型,受講後,67
44,従来型,受講後,58
45,従来型,受講後,60
46,従来型,受講後,44
47,従来型,受講後,37
48,従来型,受講後,77
49,従来型,受講後,52
50,従来型,受講後,41
51,新型,受講後,58
52,新型,受講後,55
53,新型,受講後,66
54,新型,受講後,55
55,新型,受講後,67
56,新型,受講後,73
57,新型,受講後,62
58,新型,受講後,63
59,新型,受講後,74
60,新型,受講後,64
61,新型,受講後,55
62,新型,受講後,71
63,新型,受講後,50
64,新型,受講後,68
65,新型,受講後,78
66,新型,受講後,45
67,新型,受講後,62
68,新型,受講後,69
69,新型,受講後,38
70,新型,受講後,55
71,新型,受講後,55
72,新型,受講後,65
73,新型,受講後,57
74,新型,受講後,61
75,新型,受講後,67
76,新型,受講後,63
77,新型,受講後,59
78,新型,受講後,54
79,新型,受講後,63
80,新型,受講後,46
81,新型,受講後,40
82,新型,受講後,64
83,新型,受講後,53
84,新型,受講後,52
85,新型,受講後,60
86,新型,受講後,67
87,新型,受講後,54
88,新型,受講後,74
89,新型,受講後,51
90,新型,受講後,59
91,新型,受講後,77
92,新型,受講後,68
93,新型,受講後,71
94,新型,受講後,53
95,新型,受講後,62
96,新型,受講後,72
97,新型,受講後,54
98,新型,受講後,56
99,新型,受講後,41
100,新型,受講後,51
