"協力者No.","パン","風味","味わい","食感","色味"
1,"パンA",4,3,4,3
1,"パンB",4,4,3,3
1,"パンC",4,4,3,4
1,"パンD",3,4,4,3
2,"パンA",3,3,3,4
2,"パンB",3,4,3,3
2,"パンC",3,3,4,4
2,"パンD",3,4,3,4
3,"パンA",4,3,4,4
3,"パンB",3,3,4,3
3,"パンC",4,4,4,4
3,"パンD",4,3,3,3
4,"パンA",4,4,3,4
4,"パンB",3,5,3,3
4,"パンC",4,4,5,3
4,"パンD",4,2,4,4
5,"パンA",4,4,3,3
5,"パンB",3,3,4,3
5,"パンC",4,4,3,4
5,"パンD",2,3,4,3
6,"パンA",3,3,4,4
6,"パンB",4,4,3,4
6,"パンC",5,3,3,4
6,"パンD",4,4,4,3
7,"パンA",4,3,3,4
7,"パンB",3,3,3,3
7,"パンC",4,4,3,4
7,"パンD",3,4,5,3
8,"パンA",3,3,4,4
8,"パンB",3,4,3,3
8,"パンC",4,4,3,4
8,"パンD",3,3,3,4
9,"パンA",5,4,3,4
9,"パンB",4,4,3,3
9,"パンC",4,3,3,4
9,"パンD",3,2,2,3
10,"パンA",3,3,4,4
10,"パンB",4,4,4,3
10,"パンC",4,3,4,5
10,"パンD",2,3,4,3
11,"パンA",4,4,4,3
11,"パンB",4,4,4,3
11,"パンC",4,4,3,4
11,"パンD",2,3,3,3
12,"パンA",5,4,3,3
12,"パンB",3,4,3,2
12,"パンC",4,4,5,4
12,"パンD",3,3,4,3
13,"パンA",3,4,4,4
13,"パンB",4,3,4,4
13,"パンC",3,4,4,3
13,"パンD",2,3,3,3
14,"パンA",3,3,4,3
14,"パンB",4,3,4,3
14,"パンC",5,3,4,4
14,"パンD",3,3,5,3
15,"パンA",3,4,4,3
15,"パンB",3,3,4,3
15,"パンC",4,3,4,4
15,"パンD",4,3,3,3
16,"パンA",4,3,4,4
16,"パンB",3,3,3,2
16,"パンC",4,4,4,4
16,"パンD",2,4,3,3
17,"パンA",3,3,4,4
17,"パンB",3,3,4,3
17,"パンC",3,4,4,5
17,"パンD",3,3,3,3
18,"パンA",2,3,4,4
18,"パンB",3,5,4,3
18,"パンC",4,4,5,4
18,"パンD",3,2,4,3
19,"パンA",2,2,2,3
19,"パンB",3,3,3,3
19,"パンC",4,5,4,4
19,"パンD",2,4,4,3
20,"パンA",4,4,4,3
20,"パンB",4,4,4,4
20,"パンC",4,4,3,3
20,"パンD",3,4,3,4
