工程A,工程B,工程C
良,良,不良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
不良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,不良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,不良,不良
良,良,良
良,良,良
不良,良,良
良,良,不良
不良,良,良
良,良,不良
良,良,良
不良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,不良,良
良,良,良
良,良,良
良,不良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,不良,良
良,良,不良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,不良
良,不良,良
良,良,良
良,不良,良
良,良,良
良,良,不良
良,良,良
良,良,不良
良,良,良
不良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,不良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,不良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,不良
良,良,良
良,良,良
良,良,不良
良,良,不良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
不良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,良
良,良,不良
良,良,良
良,良,良
良,良,不良
良,良,不良
良,良,良
良,良,良
良,良,不良
良,不良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,良
良,良,良
良,良,不良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,不良,不良
良,良,不良
良,良,良
不良,良,不良
良,良,不良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,不良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,不良
良,良,不良
良,良,良
良,不良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,不良
良,良,良
不良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
不良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
不良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,不良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,不良,不良
良,不良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,不良
良,良,良
良,良,良
良,良,良
良,良,不良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
不良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
不良,良,良
良,良,良
良,良,良
良,良,不良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,不良
良,良,良
良,不良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,不良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,不良,良
不良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,不良,良
不良,良,不良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,不良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,良
不良,良,不良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
不良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,不良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,不良,良
良,良,不良
良,不良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,不良
良,良,不良
良,良,不良
良,不良,良
良,不良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
不良,良,良
良,良,良
良,良,良
不良,良,良
良,良,良
良,不良,不良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,不良,不良
良,良,不良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,不良
良,良,良
良,良,良
良,良,良
不良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,不良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,不良
不良,不良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
不良,良,良
良,良,良
不良,良,良
良,良,良
良,不良,良
良,良,良
良,不良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
不良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,不良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,不良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
不良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,不良,良
良,良,良
良,良,不良
良,不良,不良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
不良,不良,良
良,不良,不良
良,良,良
良,良,良
良,良,良
不良,不良,良
不良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,不良,良
不良,良,良
良,不良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,不良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,良,良
良,不良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
良,良,不良
良,良,良
良,良,良
良,良,良
